park_name,lat,long,average_visits
Golden Spike National Historic Site,41.62048,-112.54722,48716
Longfellow National Historic Site,42.37667,-71.12623,48242
Tonto National Monument,33.65694,-111.09412,48235
Thomas Edison National Historical Park,40.78694,-74.23759,47729
Charles Pinckney National Historic Site,32.84611,-79.82454,47589
Aztec Ruins National Monument,36.83583,-107.99782,44988
Palo Alto Battlefield National Historical Park,26.02139,-97.48037,43977
Ulysses S. Grant National Historic Site,38.55111,-90.35178,42544
Sagamore Hill National Historic Site,40.88556,-73.49734,42154
Big Hole National Battlefield,45.6375,-113.64332,41405
Chaco Culture National Historical Park,36.05833,-107.95862,40364
Hopewell Culture National Historical Park,39.37583,-83.0062,40222
Tumacácori National Historical Park,31.5675,-111.05052,39621
Bluestone National Scenic River,37.54167,-80.99901,38676
John Muir National Historic Site,37.99131,-122.13302,38501
Gila Cliff Dwellings National Monument,33.22722,-108.27192,38448
George Washington Carver National Monument,36.98636,-94.354,38079
Lake Chelan National Recreation Area,48.32194,-120.67802,37244
Pecos National Historical Park,35.54999,-105.68912,37176
Marsh-Billings-Rockefeller National Historical Park,43.63125,-72.52917,37135
Katmai National Park and Preserve,58.5,-154.99972,36825
Arkansas Post National Memorial,34.02361,-91.34347,36331
Buck Island Reef National Monument,17.78694,-64.61897,35675
Saint-Gaudens National Historic Site,43.4959,-72.36848,35647
Tuskegee Airmen National Historic Site,32.45722,-85.67984,34627
Hampton National Historic Site,39.41611,-76.58734,34316
Friendship Hill National Historic Site,39.77778,-79.92899,33957
Women's Rights National Historical Park,42.91083,-76.8012,33441
Harry S. Truman National Historic Site,38.90211,-94.53209,31836
Salinas Pueblo Missions National Monument,34.25972,-106.09002,31366
Hovenweep National Monument,37.38388,-109.07702,30294
James A. Garfield National Historic Site,41.66222,-81.34706,29958
Fort Larned National Historic Site,38.15667,-99.2265,28270
Weir Farm National Historic Site,41.25806,-73.45455,28244
Cane River Creole National Historical Park,31.66684,-93.00343,27482
Hamilton Grange National Memorial,40.82238,-73.94815,27278
Fort Scott National Historic Site,37.84389,-94.70455,26826
Bent's Old Fort National Historic Site,38.04045,-103.42502,26735
Hagerman Fossil Beds National Monument,42.79028,-114.94502,25055
Tuskegee Institute National Historic Site,32.43028,-85.70762,25031
North Cascades National Park,48.70643,-121.18952,24164
Booker T. Washington National Monument,37.12333,-79.76564,23562
William Howard Taft National Historic Site,39.11972,-84.50845,23473
Russell Cave National Monument,34.97417,-85.80314,23295
Tallgrass Prairie National Preserve,38.43278,-96.55869,22626
Brown v. Board of Education National Historic Site,39.03806,-95.67621,21671
Grant-Kohrs Ranch National Historic Site,46.40833,-112.73922,20500
Martin Van Buren National Historic Site,42.36971,-73.70405,20492
John Fitzgerald Kennedy National Historic Site,42.34583,-71.12428,20289
